,Country
0,Russia
1,European Russia
2,
3,China
4,Hong Kong
5,Macau
6,India
7,
8,Kazakhstan
9,Saudi Arabia
10,Iran
11,Mongolia
12,Indonesia
13,Pakistan
14,Turkey
15,East Thrace
16,Myanmar
17,Afghanistan
18,Yemen
19,Thailand
20,Turkmenistan
21,Uzbekistan
22,Iraq
23,Japan
24,Vietnam
25,Malaysia
26,Oman
27,Philippines
28,Laos
29,Kyrgyzstan
30,Syria
31,Golan Heights
32,Cambodia
33,Bangladesh
34,Nepal
35,Tajikistan
36,North Korea
37,South Korea
38,Jordan
39,Azerbaijan
40,Caucasus
41,Europe
42,Asia
43,United Arab Emirates
44,Georgia (country)
45,Caucasus
46,Europe
47,Asia
48,Sri Lanka
49,Bhutan
50,Taiwan
51,Armenia
52,Caucasus
53,Europe
54,Asia
55,Israel
56,Kuwait
57,East Timor
58,Qatar
59,Lebanon
60,Cyprus
61,State of Palestine
62,Brunei
63,Bahrain
64,Singapore
65,Maldives
